Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
,,,,0:00,0,40,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,99,0.00
,,,,0:00,0,41,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,100,0.00
,,,,0:00,0.00,42,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,101,0.00
,,,,0:00,0,43,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,102,0.00
,,,,0:00,0,44,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,103,0.00
,,,,0:00,0,45,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,104,0.00
,,,,0:00,0,46,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,105,0.00
,,,,0:00,0.00,47,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,106,0.00
,,,,0:00,0,48,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,107,0.00
,,,,0:00,0,49,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,108,0.00
,,,,0:00,0.00,50,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,109,0.00
,,,,0:00,0,51,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,110,0.00
,,,,0:00,0,52,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,111,0.00
,,,,0:00,0,53,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,112,0.00
,,,,0:00,0.00,54,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,113,0.00
,,,,0:00,0,55,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,114,0.00
,,,,0:00,0,56,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,115,0.00
,,,,0:00,0,57,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,116,0.00
,,,,0:00,0.00,58,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,117,0.00
,,,,0:00,0,59,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,118,0.00
,,,,0:00,0,60,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,119,0.00
,,,,0:00,0,61,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,120,0.00
,,,,0:00,0.00,62,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,121,0.00
,,,,0:00,0.00,63,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,122,0.00
,,,,0:00,0,64,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,123,0.00
,,,,0:00,0.00,65,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,124,0.00
,,,,0:00,0,66,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,125,0.00
,,,,0:00,0.00,67,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,126,0.00
,,,,0:00,0,68,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,127,0.00
,,,,0:00,0,69,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,128,0.00
,,,,0:00,0.00,70,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,129,0.00
,,,,0:00,0,71,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,130,0.00
,,,,0:00,0.00,72,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,131,0.00
,,,,0:00,0,73,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,132,0.00
,,,,0:00,0.00,74,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,133,0.00
,,,,0:00,0.00,75,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,134,0.00
,,,,0:00,0.00,76,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,135,0.00
,,,,0:00,0,77,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,136,0.00
,,,,0:00,0,78,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,137,0.00
,,,,0:00,0.00,79,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,138,0.00
,,,,0:00,0.00,80,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,139,0.00
